  JOBID     USER ACCOUNT           NAME  ST REASON          START_TIME                TIME  TIME_LEFT NODES CPUS  PARTITION   PRIORITY
7100354      mjd majoran       mjd-prod   R None            2018-09-17T10:33:14      36:02    3:23:58     1    6   realtime         92
7100358      mjd majoran       mjd-prod   R None            2018-09-17T10:33:18      35:58    3:24:02     1    6   realtime         92
7100359      mjd majoran       mjd-prod   R None            2018-09-17T10:33:23      35:53    3:24:07     1    6   realtime         92
7100360      mjd majoran       mjd-prod   R None            2018-09-17T10:33:23      35:53    3:24:07     1    6   realtime         92
7100361      mjd majoran       mjd-prod   R None            2018-09-17T10:33:23      35:53    3:24:07     1    6   realtime         92
7100362      mjd majoran       mjd-prod   R None            2018-09-17T10:33:26      35:50    3:24:10     1    6   realtime         92
7100363      mjd majoran       mjd-prod   R None            2018-09-17T10:33:29      35:47    3:24:13     1    6   realtime         92
7100364      mjd majoran       mjd-prod   R None            2018-09-17T10:33:32      35:44    3:24:16     1    6   realtime         92
7100365      mjd majoran       mjd-prod   R None            2018-09-17T10:33:34      35:42    3:24:18     1    6   realtime         92
7100366      mjd majoran       mjd-prod   R None            2018-09-17T10:33:34      35:42    3:24:18     1    6   realtime         92
7100367      mjd majoran       mjd-prod   R None            2018-09-17T10:33:37      35:39    3:24:21     1    6   realtime         92
7100368      mjd majoran       mjd-prod   R None            2018-09-17T10:33:41      35:35    3:24:25     1    6   realtime         92
7100369      mjd majoran       mjd-prod   R None            2018-09-17T10:33:41      35:35    3:24:25     1    6   realtime         92
7100371      mjd majoran       mjd-prod   R None            2018-09-17T10:33:47      35:29    3:24:31     1    6   realtime         92
7100372      mjd majoran       mjd-prod   R None            2018-09-17T10:33:52      35:24    3:24:36     1    6   realtime         92
7100373      mjd majoran       mjd-prod   R None            2018-09-17T10:33:52      35:24    3:24:36     1    6   realtime         92
7100374      mjd majoran       mjd-prod   R None            2018-09-17T10:33:57      35:19    3:24:41     1    6   realtime         92
7100375      mjd majoran       mjd-prod   R None            2018-09-17T10:34:00      35:16    3:24:44     1    6   realtime         92
7100376      mjd majoran       mjd-prod   R None            2018-09-17T10:34:03      35:13    3:24:47     1    6   realtime         92
7100587      mjd majoran       mjd-prod   R None            2018-09-17T10:45:25      23:51    3:36:09     1    4      short         92
7100588      mjd majoran       mjd-prod   R None            2018-09-17T10:45:29      23:47    3:36:13     1    4      short         92
7100589      mjd majoran       mjd-prod   R None            2018-09-17T10:45:29      23:47    3:36:13     1    4      short         92
7100590      mjd majoran       mjd-prod   R None            2018-09-17T10:45:33      23:43    3:36:17     1    4      short         92
7100591      mjd majoran       mjd-prod   R None            2018-09-17T10:45:33      23:43    3:36:17     1    4      short         92
7100592      mjd majoran       mjd-prod   R None            2018-09-17T10:45:36      23:40    3:36:20     1    4      short         92
7100593      mjd majoran       mjd-prod   R None            2018-09-17T10:45:39      23:37    3:36:23     1    4      short         92
7100594      mjd majoran       mjd-prod   R None            2018-09-17T10:45:41      23:35    3:36:25     1    4      short         92
7100595      mjd majoran       mjd-prod   R None            2018-09-17T10:45:43      23:33    3:36:27     1    4      short         92
7100596      mjd majoran       mjd-prod   R None            2018-09-17T10:45:49      23:27    3:36:33     1    4      short         92
7100597      mjd majoran       mjd-prod   R None            2018-09-17T10:45:52      23:24    3:36:36     1    4      short         92
7100598      mjd majoran       mjd-prod   R None            2018-09-17T10:45:55      23:21    3:36:39     1    4      short         92
7100599      mjd majoran       mjd-prod   R None            2018-09-17T10:46:00      23:16    3:36:44     1    4      short         92
7100600      mjd majoran       mjd-prod   R None            2018-09-17T10:46:04      23:12    3:36:48     1    4      short         92
7100601      mjd majoran       mjd-prod   R None            2018-09-17T10:46:04      23:12    3:36:48     1    4      short         92
7100602      mjd majoran       mjd-prod   R None            2018-09-17T10:46:08      23:08    3:36:52     1    4      short         92
7100603      mjd majoran       mjd-prod   R None            2018-09-17T10:46:14      23:02    3:36:58     1    4      short         92
7100604      mjd majoran       mjd-prod   R None            2018-09-17T10:46:14      23:02    3:36:58     1    4      short         92
7100605      mjd majoran       mjd-prod   R None            2018-09-17T10:46:17      22:59    3:37:01     1    4      short         92
7100606      mjd majoran       mjd-prod   R None            2018-09-17T10:46:19      22:57    3:37:03     1    4      short         92
7100607      mjd majoran       mjd-prod   R None            2018-09-17T10:46:22      22:54    3:37:06     1    4      short         92
7100608      mjd majoran       mjd-prod   R None            2018-09-17T10:46:25      22:51    3:37:09     1    4      short         92
7100609      mjd majoran       mjd-prod   R None            2018-09-17T10:46:28      22:48    3:37:12     1    4      short         92
7100610      mjd majoran       mjd-prod   R None            2018-09-17T10:46:28      22:48    3:37:12     1    4      short         92
7100611      mjd majoran       mjd-prod   R None            2018-09-17T10:46:30      22:46    3:37:14     1    4      short         92
7100612      mjd majoran       mjd-prod   R None            2018-09-17T10:46:32      22:44    3:37:16     1    4      short         92
7100613      mjd majoran       mjd-prod   R None            2018-09-17T10:46:34      22:42    3:37:18     1    4      short         92
7100614      mjd majoran       mjd-prod   R None            2018-09-17T10:46:37      22:39    3:37:21     1    4      short         92
7100615      mjd majoran       mjd-prod   R None            2018-09-17T10:46:41      22:35    3:37:25     1    4      short         92
7100616      mjd majoran       mjd-prod   R None            2018-09-17T10:46:41      22:35    3:37:25     1    4      short         92
7100617      mjd majoran       mjd-prod   R None            2018-09-17T10:46:43      22:33    3:37:27     1    4      short         92
7100618      mjd majoran       mjd-prod   R None            2018-09-17T10:46:49      22:27    3:37:33     1    4      short         92
7100619      mjd majoran       mjd-prod   R None            2018-09-17T10:46:54      22:22    3:37:38     1    4      short         92
7100620      mjd majoran       mjd-prod   R None            2018-09-17T10:46:54      22:22    3:37:38     1    4      short         92
7100621      mjd majoran       mjd-prod   R None            2018-09-17T10:46:57      22:19    3:37:41     1    4      short         92
7100622      mjd majoran       mjd-prod   R None            2018-09-17T10:47:02      22:14    3:37:46     1    4      short         92
7100624      mjd majoran       mjd-prod   R None            2018-09-17T10:47:05      22:11    3:37:49     1    4      short         92
7100625      mjd majoran       mjd-prod   R None            2018-09-17T10:47:14      22:02    3:37:58     1    4      short         92
7100626      mjd majoran       mjd-prod   R None            2018-09-17T10:47:14      22:02    3:37:58     1    4      short         92
7100627      mjd majoran       mjd-prod   R None            2018-09-17T10:47:16      22:00    3:38:00     1    4      short         92
7100628      mjd majoran       mjd-prod   R None            2018-09-17T10:47:18      21:58    3:38:02     1    4      short         92
7100629      mjd majoran       mjd-prod   R None            2018-09-17T10:47:18      21:58    3:38:02     1    4      short         92
7100630      mjd majoran       mjd-prod   R None            2018-09-17T10:47:23      21:53    3:38:07     1    4      short         92
7100641      mjd majoran       mjd-prod   R None            2018-09-17T10:49:54      19:22    3:40:38     1    4      short         92
