21, 1.95156252137e-26
22, 1.34136788017e-26
23, 4.37095879452e-26
24, 1.69908582426e-26
25, 2.0836404394e-26
26, 4.05317528266e-26
27, 3.48801452081e-26
28, 4.51252789081e-26
29, 6.64155327231e-26
30, 1.91062953532e-26
31, 2.20921016025e-26
32, 6.11323974121e-26
33, 9.49179981838e-26
34, 1.30095101557e-25
35, 5.84794540293e-26
36, 2.7015311607e-25
37, 5.60874605216e-26
38, 2.2116886945e-25
39, 6.77521442683e-26
40, 1.88866039847e-25
41, 8.89108854163e-26
42, 1.0267477376e-25
43, 2.61713157365e-25
44, 1.27551695569e-25
45, 1.40810830869e-25
46, 6.76578436746e-25
47, 1.47477347724e-25
48, 2.48042262002e-25
49, 6.03144857384e-25
50, 3.15171150411e-25
51, 4.93877089201e-25
52, 8.88197471134e-25
53, 8.48663362055e-25
54, 3.63883394109e-25
55, 4.11456668149e-25
56, 2.28987549857e-25
57, 1.21862575587e-24
58, 3.72346935364e-25
59, 4.03119851804e-25
60, 4.5123503086e-25
61, 1.24976714841e-24
62, 4.58465659591e-25
63, 1.00009171675e-24
64, 6.34465003622e-25
65, 5.09098838278e-25
66, 7.12996335788e-25
67, 2.97462539996e-24
68, 7.27539044462e-25
69, 1.21988402237e-24
70, 1.27653024568e-24
71, 2.08633756949e-24
72, 7.46665301283e-25
73, 1.06632937254e-24
74, 9.69229257884e-25
75, 3.17446287578e-24
76, 2.28543162731e-24
77, 1.03411539126e-24
78, 4.79839099407e-24
79, 1.15388608354e-24
80, 1.89679906074e-24
81, 2.45454965202e-24
82, 3.35081086551e-24
83, 3.47362996467e-24
84, 3.76405681082e-24
85, 3.39346288786e-24
86, 6.31504364032e-24
87, 9.59489132649e-24
88, 2.24226537299e-24
89, 4.21448052522e-24
90, 4.45981029557e-24
91, 6.96001252976e-24
92, 0.0
93, 1.44804380911e-23
