channel C P D detID mageID detName isEnr
600 1 4 3 28463 1000403 B8463 0
614 1 3 3 1425381 1000303 P42538B 1
664 1 5 1 28477 1000501 B8477 0
594 1 4 4 28465 1000404 B8465 0
690 1 1 2 1425750 1000102 P42575A 1
674 1 2 2 1426640 1000202 P42664A 1
626 1 6 2 1426611 1000602 P42661B 1
628 1 6 1 1425742 1000601 P42574C 1
692 1 1 1 1426981 1000101 P42698B 1
640 1 1 4 1425380 1000104 P42538A 1
688 1 1 3 1426612 1000103 P42661C 1
644 1 7 2 1425741 1000702 P42574B 1
610 1 3 4 1425730 1000304 P42573A 1
624 1 6 3 1425740 1000603 P42574A 1
646 1 7 1 28482 1000701 B8482 0
696 1 5 4 1425731 1000504 P42573B 1
656 1 5 3 1426610 1000503 P42661A 1
642 1 7 3 1426621 1000703 P42662B 1
592 1 4 5 28469 1000405 B8469 0
608 1 4 1 28455 1000401 B8455 0
576 1 2 3 1426650 1000203 P42665A 1
662 1 5 2 1425751 1000502 P42575B 1
598 1 4 2 28470 1000402 B8470 0
